battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,screen_size,camera_quality,processor_power,memory_weight_ratio,network_type
842,0,2.2,0,1,0,7,0.6,188,2,2,20,756,2549,9,7,19,0,0,1,1,11.40175425099138,15120,4.4,0.03723404255319149,2
1021,1,0.5,1,0,1,53,0.7,136,3,6,905,1988,2631,17,3,7,1,1,0,2,17.26267650163207,0,1.5,0.3897058823529412,2
563,1,0.5,1,2,1,41,0.9,145,5,6,1263,1716,2603,11,2,9,1,1,0,2,11.180339887498949,4334616,2.5,0.2827586206896552,2
615,1,2.5,0,0,0,10,0.8,131,6,9,1216,1786,2769,16,8,11,1,0,0,2,17.88854381999832,0,15.0,0.07633587786259542,1
1821,1,1.2,0,13,1,44,0.6,141,2,14,1208,1212,1411,8,2,15,1,1,0,1,8.246211251235321,19033248,2.4,0.3120567375886525,2
1859,0,0.5,1,3,0,22,0.7,164,1,7,1004,1654,1067,17,1,10,1,0,0,1,17.029386365926403,4981848,0.5,0.13414634146341464,1
1821,0,1.7,0,4,1,10,0.8,139,8,10,381,1018,3220,13,8,18,1,0,1,3,15.264337522473747,1551432,13.6,0.07194244604316546,4
1954,0,0.5,1,0,0,24,0.8,187,4,0,512,1149,700,16,3,5,1,1,1,0,16.278820596099706,0,2.0,0.12834224598930483,3
1445,1,0.5,0,0,0,53,0.7,174,7,14,386,836,1099,17,1,20,1,0,0,0,17.029386365926403,0,3.5,0.3045977011494253,1
509,1,0.6,1,2,1,9,0.1,93,5,15,1137,1224,513,19,10,12,1,0,0,0,21.470910553583888,2783376,3.0,0.0967741935483871,2
769,1,2.9,1,0,0,9,0.1,182,5,1,248,874,3946,5,2,7,0,0,0,3,5.385164807134504,0,14.5,0.04945054945054945,0
1520,1,2.2,0,5,1,33,0.5,177,8,18,151,1005,3826,14,9,13,1,1,1,3,16.64331697709324,758775,17.6,0.1864406779661017,4
1815,0,2.8,0,2,0,33,0.6,159,4,17,607,748,1482,18,0,2,1,0,0,1,18.0,908072,11.2,0.20754716981132076,1
